num_execve,num_distinct_children,num_file_opens,num_file_renames,num_file_deletes,num_distinct_files_touched,num_connect,num_distinct_dest_ips,num_setuid,syscall_rate
0,0,4,0,3,1,0,0,0,1.384657433192379
0,5,83,0,0,9,0,0,0,16.5876754864974
0,0,33,0,0,13,0,0,0,6.599973631785346
0,0,1,0,0,1,0,0,0,2000.0
1,0,0,0,0,1,0,0,0,1000.0
1,0,11,0,0,12,0,0,0,12000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,8,0,0,9,0,0,0,6897.497817708329
2,6,27,0,0,15,0,0,0,5447.051745676778
2,0,2090,0,0,441,0,0,0,39195.19670733368
2,0,15,0,0,15,0,0,0,4048.8452693291874
0,0,4,0,0,2,2,1,0,169.0169411313994
0,0,13,0,0,10,0,0,0,10678.67935950924
10,0,38,0,0,40,0,0,0,4625.608544578291
10,0,145,0,0,139,0,0,0,1310.0519687473663
10,0,33,0,0,33,0,0,0,3375.793753132913
10,0,12,0,0,16,0,0,0,2251.4729494224
0,2,84,0,1,34,0,0,0,52.24037786431449
1,0,4,0,0,5,0,0,0,5000.0
1,0,8,0,0,9,0,0,0,6926.822735679371
0,0,3,0,4,1,0,0,0,10.9193428901055
0,3,120,0,0,9,0,0,0,42.72024547958722
0,0,48,1,0,14,0,0,0,21.041864066101255
0,0,1,0,0,1,0,0,0,1000.0
1,0,11,0,0,12,0,0,0,12000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,8,0,0,9,0,0,0,8250.44689920704
2,5,27,0,0,15,0,0,0,6746.056116020999
2,0,1908,0,0,404,0,0,0,58121.1831537546
2,0,15,0,0,15,0,0,0,5224.153041870664
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,8,0,0,9,0,0,0,6360.599338073629
0,0,10,0,0,7,0,0,0,10000.0
1,0,7,0,0,8,0,0,0,5854.08117268954
0,0,2,0,0,2,0,0,0,2000.0
0,0,28,1,4,23,0,0,0,9.654407319062125
0,11,2,0,0,2,0,0,0,0.9741788204688628
0,0,7,2,0,3,0,0,0,2.2500019035016106
0,0,5,0,0,1,0,0,0,1.2499916197436833
0,0,5,0,0,1,0,0,0,1.2499595609957928
0,0,5,0,0,1,0,0,0,1.2499851776757631
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,4150.414335863149
1,0,8,0,0,9,0,0,0,5895.55049702766
1,0,277,0,0,266,0,0,0,889.9159301222518
1,0,7,0,0,8,0,0,0,4886.519741234347
0,0,2,0,0,2,0,0,0,2000.0
1,0,7,0,0,8,0,0,0,6173.382535192139
0,0,2,0,0,2,0,0,0,2000.0
1,0,3,0,0,4,0,0,0,2726.2256088002564
0,3,4,0,0,3,0,0,0,10.210756211234273
1,0,7,0,0,8,0,0,0,6550.869136562694
0,0,2,0,0,2,0,0,0,2000.0
10,0,21,0,0,23,0,0,0,3128.6408296105874
10,0,2179,0,0,2179,0,0,0,22073.911887236172
10,0,17,0,0,19,0,0,0,5906.206810862695
10,0,12,0,0,16,0,0,0,5083.6726299687125
0,10,23,0,2,20,1,1,0,6.2356196597679565
0,4,4,0,0,3,0,0,0,11.74543852681193
0,0,10,0,1,11,0,0,0,11000.0
1,1,21,0,0,18,0,0,0,10454.783063251438
10,1,28,0,0,29,0,0,0,5841.1358611309915
1,0,11,0,0,12,0,0,0,12000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
1,0,4,0,0,5,0,0,0,5000.0
